Iterations;Energies;cond(Ai);cond(Ai-1 @ Ai)
7;515;555.9709063272003;1.4918528516907528
8;515;555.9638219992407;1.4938778720849706
9;515;555.9607924382918;1.4948634513641847
10;515;555.9597429161136;1.4953554554464694
11;515;555.9593401440452;1.4956127341479026
12;515;555.9590587526312;1.495751865615472
13;515;555.9588765960235;1.4958269637270039
14;515;555.9587960058769;1.4958668251207674
15;515;555.9587739343203;1.4958877524060512
16;515;555.9587745743;1.4958987098087146
17;515;555.9587807013446;1.4959044586451724
18;515;555.9587863557236;1.4959074862554727
19;515;555.9587902740313;1.4959090872275491
20;515;555.9587926752959;1.495909936941944
21;515;555.9587940490121;1.4959103893454084
22;515;555.958794800738;1.4959106308354775
23;515;555.9587951996094;1.4959107600075507
24;515;555.9587954061669;1.495910829212729
25;515;555.9587955112326;1.495910866339857
26;515;555.9587955637695;1.4959108862737758
27;515;555.9587955895361;1.495910896987584
28;515;555.9587956021418;1.4959109027478028
29;515;555.9587956081248;1.4959109058461084
30;515;555.9587956109336;1.4959109075141634
31;515;555.9587956122767;1.4959109084115625
1;516;557.533751112133;1.2296089953645277
2;516;556.8683115918145;1.3608944325390204
3;516;556.6197130551778;1.4294716704023513
4;516;556.5416213422303;1.4646025224347587
5;516;556.506628647503;1.481897179114183
6;516;556.4983670127477;1.4904539442639364
7;516;556.4874199587696;1.494660001168823
8;516;556.4817981055044;1.4966990347616438
9;516;556.4794637359033;1.4976914463384563
10;516;556.4787356195143;1.4981867954565091
11;516;556.478490849208;1.4984458012714421
12;516;556.4782974254257;1.4985858972623816
13;516;556.4781636951666;1.4986615409952673
14;516;556.4781072395642;1.4987017007772072
15;516;556.4780962466958;1.4987227868245092
16;516;556.4781017423733;1.4987338277896107
17;516;556.4781099567875;1.498739620582513
18;516;556.4781165074543;1.4987426714009184
19;516;556.4781208154031;1.4987442846877501
20;516;556.478123390129;1.498745140964378
21;516;556.4781248436122;1.49874559687885
22;516;556.4781256335916;1.4987458402537688
23;516;556.4781260514955;1.4987459704382402
24;516;556.4781262680091;1.498746040191908
25;516;556.4781263783257;1.4987460776117485
26;516;556.4781264337292;1.4987460977047502
27;516;556.47812646114;1.498746108504442
28;516;556.478126474637;1.4987461143110687
29;516;556.4781264810886;1.4987461174362848
30;516;556.4781264842658;1.4987461191157663
31;516;556.4781264857583;1.4987461200214331
1;517;557.898357766354;1.2307830614087767
2;517;557.30060315716;1.3628294665431457
3;517;557.0967867737472;1.4318347056017726
4;517;557.0419602678852;1.4671839673568507
5;517;557.0191663295495;1.4845942555015166
6;517;557.0166287675272;1.4932041254932282
7;517;557.0089837179762;1.4974383654255043
8;517;557.0049714101854;1.4994912524163706
9;517;557.0034012127549;1.500490434090253
10;517;557.0030253212741;1.5009891162549645
11;517;557.0029525035869;1.5012498574323674
12;517;557.0028537828822;1.5013909289322667
13;517;557.0027716006354;1.5014671261490342
14;517;557.002740521811;1.5015075889657437
15;517;557.0027410025192;1.501528836346625
16;517;557.0027514294982;1.5015399622696404
17;517;557.002761711084;1.5015457997744452
18;517;557.0027691218799;1.5015488742160512
19;517;557.0027737901049;1.5015505000391842
20;517;557.0027765187675;1.5015513630019264
21;517;557.0027780402772;1.5015518224966597
22;517;557.0027788616995;1.5015520677939955
23;517;557.0027792948619;1.501552199012462
24;517;557.0027795192188;1.5015522693239978
25;517;557.0027796336769;1.501552307042906
26;517;557.0027796914669;1.5015523273006088
27;517;557.0027797202245;1.501552338187369
28;517;557.0027797343877;1.5015523440423493
29;517;557.0027797413368;1.5015523471929417
